,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,Temp9am,Humidity9am,Cloud9am,WindDir9am,WindSpeed9am,Pressure9am,Temp3pm,Humidity3pm,Cloud3pm,WindDir3pm,WindSpeed3pm,Pressure3pm,Location,RainToday,RainTomorrow
1,2025-02-1,21.0,27.8,0.2,6.6,5.1,SSE,30,24.0,72.0,6.0,SSE,20.0,1021.7,26.9,60.0,6.0,ESE,20.0,1020.8,Sydney,No,No
2,2025-02-2,19.7,28.9,0.0,8.0,11.5,E,30,22.5,75.0,4.0,SE,2.0,1020.8,27.6,54.0,2.0,E,19.0,1019.0,Sydney,No,No
3,2025-02-3,20.0,30.0,0.0,8.0,10.2,NE,43,24.3,74.0,3.0,ESE,4.0,1018.8,29.3,62.0,2.0,ENE,22.0,1016.4,Sydney,No,No
4,2025-02-4,21.6,29.5,0.0,8.4,12.1,NE,43,24.5,77.0,4.0,NE,11.0,1015.0,28.9,63.0,,NE,24.0,1010.6,Sydney,No,No
5,2025-02-5,22.8,32.1,0.0,9.6,7.1,SSW,46,25.0,78.0,3.0,E,2.0,1009.9,25.8,73.0,7.0,S,22.0,1011.1,Sydney,No,Yes
6,2025-02-6,20.5,29.3,1.0,5.4,10.6,E,39,22.8,80.0,1.0,NW,6.0,1014.5,28.3,67.0,5.0,ESE,17.0,1013.9,Sydney,Yes,No
7,2025-02-7,21.4,30.0,0.0,7.4,12.4,ENE,46,23.7,79.0,1.0,NE,17.0,1012.7,28.7,62.0,1.0,ENE,30.0,1009.6,Sydney,No,No
8,2025-02-8,21.4,29.1,0.0,10.6,6.0,NNE,39,23.3,80.0,3.0,NE,13.0,1009.8,28.8,59.0,4.0,ENE,31.0,1007.0,Sydney,No,Yes
9,2025-02-9,20.0,29.5,8.6,8.6,9.4,ESE,35,22.7,88.0,,SW,9.0,1010.3,28.0,64.0,6.0,SSW,22.0,1009.4,Sydney,Yes,No
10,2025-02-10,22.0,25.1,0.0,7.8,2.4,W,72,23.6,78.0,3.0,SSW,20.0,1010.7,20.8,87.0,7.0,W,26.0,1011.4,Sydney,No,Yes
11,2025-02-11,18.6,27.4,53.2,0.8,8.2,ESE,30,21.1,86.0,2.0,WNW,6.0,1012.0,24.1,74.0,6.0,ESE,19.0,1011.0,Sydney,Yes,No
12,2025-02-12,19.9,29.1,0.0,5.0,9.2,ENE,39,22.4,81.0,5.0,S,9.0,1013.1,26.8,69.0,5.0,ESE,24.0,1012.5,Sydney,No,Yes
13,2025-02-13,22.4,28.5,2.2,6.6,12.5,ENE,56,24.3,80.0,6.0,NE,24.0,1012.7,28.0,67.0,1.0,NE,28.0,1009.9,Sydney,Yes,No
14,2025-02-14,21.9,26.8,0.2,11.2,2.6,NE,39,23.9,81.0,7.0,N,7.0,1007.0,24.3,87.0,8.0,ENE,15.0,1004.8,Sydney,No,Yes
15,2025-02-15,19.8,26.8,3.0,0.4,11.6,SSW,41,21.6,76.0,3.0,SSW,20.0,1003.8,25.6,59.0,4.0,ESE,19.0,1001.9,Sydney,Yes,No
16,2025-02-16,15.6,23.0,0.2,8.0,12.4,S,46,17.0,48.0,3.0,WSW,13.0,1009.8,22.0,37.0,2.0,SSE,24.0,1011.9,Sydney,No,No
17,2025-02-17,14.5,24.2,0.0,10.2,11.9,SSE,41,16.4,58.0,1.0,W,19.0,1020.1,23.2,40.0,3.0,SSE,24.0,1018.4,Sydney,No,No
18,2025-02-18,14.7,25.1,0.0,7.8,11.9,E,30,17.1,71.0,2.0,W,17.0,1016.8,23.1,59.0,5.0,E,22.0,1012.0,Sydney,No,No
19,2025-02-19,17.1,27.5,0.0,4.8,8.2,ENE,31,20.0,83.0,3.0,W,9.0,1015.6,25.8,60.0,3.0,E,17.0,1013.8,Sydney,No,No
20,2025-02-20,19.1,23.6,0.0,5.8,3.8,SSE,48,20.4,80.0,7.0,SE,17.0,1019.4,21.9,64.0,6.0,SSE,31.0,1020.8,Sydney,No,No
21,2025-02-21,18.0,22.7,0.0,6.2,1.1,E,37,20.2,74.0,7.0,W,15.0,1025.4,20.6,95.0,8.0,ENE,22.0,1024.1,Sydney,No,Yes
22,2025-02-22,19.5,28.1,6.0,3.0,9.2,ENE,44,22.4,83.0,6.0,NNE,7.0,1024.9,27.1,64.0,3.0,ENE,26.0,1021.5,Sydney,Yes,No
23,2025-02-23,19.0,28.2,0.0,8.4,9.1,NNE,46,21.8,70.0,1.0,NNE,13.0,1020.4,27.9,56.0,2.0,NE,26.0,1016.8,Sydney,No,No
24,2025-02-24,21.5,27.7,0.0,9.0,11.5,SSE,43,23.0,79.0,3.0,W,7.0,1018.5,26.5,65.0,4.0,SE,19.0,1018.3,Sydney,No,No
25,2025-02-25,21.0,23.1,0.0,7.4,0.0,SSE,39,21.4,82.0,8.0,S,20.0,1024.9,22.7,69.0,8.0,SSE,24.0,1024.4,Sydney,No,No
26,2025-02-26,19.7,28.0,0.0,2.6,10.2,NE,37,21.9,78.0,5.0,WNW,7.0,1023.0,27.6,65.0,2.0,ENE,24.0,1018.7,Sydney,No,No
27,2025-02-27,21.6,28.7,0.0,7.2,11.4,NE,46,23.0,86.0,4.0,W,2.0,1017.2,27.1,75.0,1.0,E,26.0,1015.9,Sydney,No,No
28,2025-02-28,21.2,31.2,0.0,8.0,10.3,S,41,22.8,83.0,2.0,ENE,2.0,1013.7,30.9,59.0,3.0,E,13.0,1011.2,Sydney,No,
